model,term,coefficient_std_scale,chosen_C,chosen_l1_ratio
continuity,(intercept),0.1061,10.0,0.1
continuity,prop_gap_transitions,-0.0062,10.0,0.1
continuity,mean_notes_between_gaps,1.2456,10.0,0.1
continuity,max_notes_between_gaps,-1.6352,10.0,0.1
continuity,mean_dur_between_gaps,-1.3923,10.0,0.1
continuity,max_dur_between_gaps,1.2208,10.0,0.1
continuity,note_density,0.1309,10.0,0.1
pitch_movement,(intercept),0.1423,10.0,0.5
pitch_movement,pitch_range,-0.2120,10.0,0.5
pitch_movement,max_abs_interval,-0.3704,10.0,0.5
pitch_movement,mean_abs_interval_nonrep,0.4601,10.0,0.5
pitch_movement,prop_repeated_pitch,0.4311,10.0,0.5
pitch_movement,prop_large_interval_ge5,-0.2124,10.0,0.5
combined,(intercept),0.1313,1.0,0.9
combined,prop_gap_transitions,0.0947,1.0,0.9
combined,mean_notes_between_gaps,-0.1408,1.0,0.9
combined,max_dur_between_gaps,-0.1205,1.0,0.9
combined,note_density,0.0037,1.0,0.9
combined,pitch_range,-0.1388,1.0,0.9
combined,max_abs_interval,-0.3163,1.0,0.9
combined,mean_abs_interval_nonrep,0.3606,1.0,0.9
combined,prop_repeated_pitch,0.4274,1.0,0.9
combined,prop_large_interval_ge5,-0.1710,1.0,0.9
baseline_n_notes,(intercept),0.1120,0.01,0.1
baseline_n_notes,n_notes,-0.3603,0.01,0.1
baseline_year,(intercept),0.1226,0.01,0.1
baseline_year,year,0.9023,0.01,0.1
baseline_n_notes_year,(intercept),0.1233,0.01,0.9
baseline_n_notes_year,n_notes,0.0000,0.01,0.9
baseline_n_notes_year,year,0.8876,0.01,0.9
