model,fold,n_test,n_test_families,roc_auc,balanced_accuracy,best_C,best_l1_ratio
chance,1,563,92,0.5000,0.5000,,
chance,2,564,82,0.5000,0.5000,,
chance,3,564,82,0.5000,0.5000,,
chance,4,564,85,0.5000,0.5000,,
chance,5,565,92,0.5000,0.5000,,
continuity,1,563,92,0.6393,0.5966,10.0,0.5
continuity,2,564,82,0.6439,0.6166,10.0,0.5
continuity,3,564,82,0.6803,0.6375,10.0,0.1
continuity,4,564,85,0.6467,0.6166,10.0,0.1
continuity,5,565,92,0.6734,0.6296,10.0,0.9
pitch_movement,1,563,92,0.7445,0.6884,10.0,0.1
pitch_movement,2,564,82,0.6408,0.6017,0.01,0.1
pitch_movement,3,564,82,0.6890,0.6238,10.0,0.1
pitch_movement,4,564,85,0.7190,0.6491,10.0,0.1
pitch_movement,5,565,92,0.7194,0.6452,0.1,0.1
combined,1,563,92,0.7288,0.6878,0.1,0.1
combined,2,564,82,0.6538,0.6164,0.01,0.1
combined,3,564,82,0.7100,0.6609,0.1,0.1
combined,4,564,85,0.7314,0.6605,10.0,0.5
combined,5,565,92,0.7452,0.6912,0.01,0.1
baseline_n_notes,1,563,92,0.6341,0.6182,0.01,0.1
baseline_n_notes,2,564,82,0.6090,0.5587,0.01,0.1
baseline_n_notes,3,564,82,0.6301,0.5712,0.01,0.1
baseline_n_notes,4,564,85,0.6526,0.5494,0.01,0.1
baseline_n_notes,5,565,92,0.6340,0.6014,0.01,0.1
baseline_year,1,563,92,0.7927,0.7398,0.01,0.1
baseline_year,2,564,82,0.8383,0.7730,0.01,0.1
baseline_year,3,564,82,0.8212,0.7357,0.01,0.1
baseline_year,4,564,85,0.7858,0.7161,0.01,0.1
baseline_year,5,565,92,0.7493,0.7457,0.01,0.1
baseline_n_notes_year,1,563,92,0.7927,0.7398,0.01,0.9
baseline_n_notes_year,2,564,82,0.8383,0.7730,0.01,0.9
baseline_n_notes_year,3,564,82,0.8212,0.7357,0.01,0.9
baseline_n_notes_year,4,564,85,0.7858,0.7161,0.01,0.9
baseline_n_notes_year,5,565,92,0.7493,0.7401,0.01,0.9
chance,mean,2820,433,0.5000,0.5000,,
chance,sd,,,0.0000,0.0000,,
continuity,mean,2820,433,0.6567,0.6194,,
continuity,sd,,,0.0187,0.0156,,
pitch_movement,mean,2820,433,0.7026,0.6416,,
pitch_movement,sd,,,0.0397,0.0323,,
combined,mean,2820,433,0.7138,0.6633,,
combined,sd,,,0.0358,0.0300,,
baseline_n_notes,mean,2820,433,0.6320,0.5798,,
baseline_n_notes,sd,,,0.0155,0.0291,,
baseline_year,mean,2820,433,0.7974,0.7421,,
baseline_year,sd,,,0.0343,0.0205,,
baseline_n_notes_year,mean,2820,433,0.7974,0.7409,,
baseline_n_notes_year,sd,,,0.0343,0.0205,,
