window,n_families,model,reference,metric,estimate,ci95_lo,ci95_hi,verdict_auc_rule
le15,125,compact,combined,d_pairwise_accuracy,-0.0040,-0.0640,0.0520,compact_preferred
le15,125,compact,combined,d_roc_auc,0.0007,-0.0613,0.0616,compact_preferred
le15,125,compact,combined,d_log_loss,-0.0662,-0.1772,0.0210,compact_preferred
le15,125,year_plus_compact,year_plus_combined,d_pairwise_accuracy,-0.0080,-0.0400,0.0240,compact_preferred
le15,125,year_plus_compact,year_plus_combined,d_roc_auc,0.0152,-0.0282,0.0643,compact_preferred
le15,125,year_plus_compact,year_plus_combined,d_log_loss,-0.2027,-0.5294,0.0095,compact_preferred
le25,168,compact,combined,d_pairwise_accuracy,0.0089,-0.0625,0.0745,compact_preferred
le25,168,compact,combined,d_roc_auc,0.0247,-0.0530,0.0979,compact_preferred
le25,168,compact,combined,d_log_loss,-0.0810,-0.1783,-0.0092,compact_preferred
le25,168,year_plus_compact,year_plus_combined,d_pairwise_accuracy,-0.0625,-0.1131,-0.0089,full_preferred
le25,168,year_plus_compact,year_plus_combined,d_roc_auc,-0.0313,-0.0961,0.0323,full_preferred
le25,168,year_plus_compact,year_plus_combined,d_log_loss,-0.0908,-0.1942,-0.0111,full_preferred
le50,231,compact,combined,d_pairwise_accuracy,0.0022,-0.0476,0.0498,compact_preferred
le50,231,compact,combined,d_roc_auc,0.0128,-0.0316,0.0548,compact_preferred
le50,231,compact,combined,d_log_loss,-0.0031,-0.0226,0.0185,compact_preferred
le50,231,year_plus_compact,year_plus_combined,d_pairwise_accuracy,0.0216,-0.0238,0.0693,compact_preferred
le50,231,year_plus_compact,year_plus_combined,d_roc_auc,0.0324,-0.0115,0.0763,compact_preferred
le50,231,year_plus_compact,year_plus_combined,d_log_loss,-0.0108,-0.0370,0.0145,compact_preferred
le75,323,compact,combined,d_pairwise_accuracy,0.0015,-0.0387,0.0418,full_preferred
le75,323,compact,combined,d_roc_auc,-0.0204,-0.0557,0.0161,full_preferred
le75,323,compact,combined,d_log_loss,-0.0035,-0.0210,0.0127,full_preferred
le75,323,year_plus_compact,year_plus_combined,d_pairwise_accuracy,-0.0170,-0.0604,0.0294,full_preferred
le75,323,year_plus_compact,year_plus_combined,d_roc_auc,-0.0317,-0.0695,0.0083,full_preferred
le75,323,year_plus_compact,year_plus_combined,d_log_loss,0.0162,0.0040,0.0284,full_preferred
le100,348,compact,combined,d_pairwise_accuracy,-0.0230,-0.0647,0.0144,compact_preferred
le100,348,compact,combined,d_roc_auc,-0.0108,-0.0463,0.0218,compact_preferred
le100,348,compact,combined,d_log_loss,-0.0036,-0.0233,0.0129,compact_preferred
le100,348,year_plus_compact,year_plus_combined,d_pairwise_accuracy,0.0043,-0.0360,0.0431,compact_preferred
le100,348,year_plus_compact,year_plus_combined,d_roc_auc,-0.0039,-0.0359,0.0272,compact_preferred
le100,348,year_plus_compact,year_plus_combined,d_log_loss,0.0009,-0.0190,0.0177,compact_preferred
unrestricted,433,compact,combined,d_pairwise_accuracy,0.0023,-0.0220,0.0266,compact_preferred
unrestricted,433,compact,combined,d_roc_auc,-0.0058,-0.0251,0.0126,compact_preferred
unrestricted,433,compact,combined,d_log_loss,-0.0022,-0.0215,0.0154,compact_preferred
unrestricted,433,year_plus_compact,year_plus_combined,d_pairwise_accuracy,-0.0173,-0.0439,0.0092,compact_preferred
unrestricted,433,year_plus_compact,year_plus_combined,d_roc_auc,-0.0135,-0.0344,0.0078,compact_preferred
unrestricted,433,year_plus_compact,year_plus_combined,d_log_loss,0.0098,-0.0116,0.0295,compact_preferred
