model,term,coefficient_std_scale,ci95_lo_boot_families,ci95_hi_boot_families,chosen_C,chosen_l1_ratio
year_only,d_year,0.2932,0.1858,0.4160,0.01,0.1
combined,d_prop_gap_transitions,0.1750,0.0281,0.3071,0.01,0.1
combined,d_mean_notes_between_gaps,0.0381,-0.0737,0.1616,0.01,0.1
combined,d_note_density,0.0000,-0.1334,0.0623,0.01,0.1
combined,d_prop_repeated_pitch,0.3067,0.1813,0.4267,0.01,0.1
combined,d_mean_abs_interval_nonrep,0.0761,-0.0043,0.2660,0.01,0.1
combined,d_pitch_range,-0.2076,-0.3428,-0.0807,0.01,0.1
combined,d_max_abs_interval,-0.1351,-0.2765,-0.0061,0.01,0.1
year_plus_combined,d_year,0.4722,0.2792,0.7361,1.0,0.1
year_plus_combined,d_prop_gap_transitions,0.4837,0.1769,0.8600,1.0,0.1
year_plus_combined,d_mean_notes_between_gaps,0.3371,-0.0450,0.7290,1.0,0.1
year_plus_combined,d_note_density,-0.1529,-0.4196,0.0820,1.0,0.1
year_plus_combined,d_prop_repeated_pitch,0.4355,0.1753,0.7515,1.0,0.1
year_plus_combined,d_mean_abs_interval_nonrep,0.2311,-0.0643,0.6652,1.0,0.1
year_plus_combined,d_pitch_range,-0.3651,-0.7643,-0.0856,1.0,0.1
year_plus_combined,d_max_abs_interval,-0.2938,-0.6563,-0.0240,1.0,0.1
