model,metric,estimate,ci95_lo_boot_families,ci95_hi_boot_families
year_only,pairwise_accuracy,0.5889,0.5450,0.6339
year_only,roc_auc,0.6221,0.5691,0.6736
year_only,balanced_accuracy,0.5889,0.5450,0.6339
year_only,log_loss,0.6725,0.6605,0.6839
continuity,pairwise_accuracy,0.5982,0.5566,0.6420
continuity,roc_auc,0.6199,0.5674,0.6729
continuity,balanced_accuracy,0.5982,0.5566,0.6420
continuity,log_loss,0.6882,0.6717,0.7053
pitch_movement,pairwise_accuracy,0.6594,0.6166,0.7009
pitch_movement,roc_auc,0.7164,0.6663,0.7628
pitch_movement,balanced_accuracy,0.6594,0.6166,0.7009
pitch_movement,log_loss,0.6465,0.6101,0.6888
combined,pairwise_accuracy,0.6582,0.6155,0.7032
combined,roc_auc,0.7239,0.6753,0.7711
combined,balanced_accuracy,0.6582,0.6155,0.7032
combined,log_loss,0.6395,0.6068,0.6761
year_plus_continuity,pairwise_accuracy,0.6386,0.5935,0.6824
year_plus_continuity,roc_auc,0.6624,0.6133,0.7131
year_plus_continuity,balanced_accuracy,0.6386,0.5935,0.6824
year_plus_continuity,log_loss,0.6529,0.6237,0.6824
year_plus_pitch_movement,pairwise_accuracy,0.6952,0.6513,0.7367
year_plus_pitch_movement,roc_auc,0.7220,0.6732,0.7668
year_plus_pitch_movement,balanced_accuracy,0.6952,0.6513,0.7367
year_plus_pitch_movement,log_loss,0.6355,0.5951,0.6809
year_plus_combined,pairwise_accuracy,0.7090,0.6674,0.7483
year_plus_combined,roc_auc,0.7392,0.6905,0.7840
year_plus_combined,balanced_accuracy,0.7090,0.6674,0.7483
year_plus_combined,log_loss,0.6260,0.5868,0.6688
