window,n_families,model,term,coefficient_std_scale,ci95_lo,ci95_hi,sign_stability,selection_frequency,chosen_C,chosen_l1_ratio
le15,125,year_only,d_year,0.2677,0.1275,0.4005,0.990,0.990,0.01,0.1
le15,125,year_plus_combined,d_year,1.0488,0.7595,1.7129,1.000,1.000,1.0,0.1
le15,125,year_plus_combined,d_prop_gap_transitions,0.3019,-0.4173,1.3936,0.813,0.993,1.0,0.1
le15,125,year_plus_combined,d_mean_notes_between_gaps,0.0702,-0.6479,1.3906,0.663,0.997,1.0,0.1
le15,125,year_plus_combined,d_note_density,-0.4514,-2.0401,0.1178,0.940,1.000,1.0,0.1
le15,125,year_plus_combined,d_prop_repeated_pitch,0.0731,-0.6016,0.7075,0.550,0.997,1.0,0.1
le15,125,year_plus_combined,d_mean_abs_interval_nonrep,0.2969,-0.3687,1.2727,0.820,0.997,1.0,0.1
le15,125,year_plus_combined,d_pitch_range,-0.6562,-1.6497,-0.2317,1.000,1.000,1.0,0.1
le15,125,year_plus_combined,d_max_abs_interval,-0.2687,-1.2050,0.6420,0.800,1.000,1.0,0.1
le15,125,year_plus_compact,d_year,0.2690,0.1466,0.3940,1.000,1.000,0.01,0.1
le15,125,year_plus_compact,d_prop_gap_transitions,0.0350,0.0000,0.1806,0.680,0.680,0.01,0.1
le15,125,year_plus_compact,d_prop_repeated_pitch,0.0000,-0.0152,0.1147,0.530,0.470,0.01,0.1
le15,125,year_plus_compact,d_pitch_range,-0.1386,-0.2462,-0.0268,0.997,0.997,0.01,0.1
le15,125,year_plus_compact,d_max_abs_interval,-0.0164,-0.1096,0.0000,0.567,0.580,0.01,0.1
le25,168,year_only,d_year,0.0762,-0.1437,0.3657,0.707,0.947,0.1,0.1
le25,168,year_plus_combined,d_year,0.2148,-0.0805,0.7437,0.913,0.997,10.0,0.5
le25,168,year_plus_combined,d_prop_gap_transitions,0.4117,-0.0706,1.4255,0.943,1.000,10.0,0.5
le25,168,year_plus_combined,d_mean_notes_between_gaps,0.0358,-0.3733,0.7113,0.673,1.000,10.0,0.5
le25,168,year_plus_combined,d_note_density,-0.1655,-0.8470,0.1998,0.817,1.000,10.0,0.5
