window,n_families,model,reference,metric,estimate,ci95_lo,ci95_hi
le15,125,year_only,,pairwise_accuracy,0.6560,0.5760,0.7361
le15,125,year_only,,roc_auc,0.6988,0.6090,0.7878
le15,125,year_only,,log_loss,0.6452,0.6179,0.6717
le15,125,pitch_movement,,pairwise_accuracy,0.5520,0.4760,0.6240
le15,125,pitch_movement,,roc_auc,0.6046,0.5033,0.6991
le15,125,pitch_movement,,log_loss,0.6823,0.6377,0.7344
le15,125,year_plus_pitch_movement,,pairwise_accuracy,0.6520,0.5720,0.7280
le15,125,year_plus_pitch_movement,,roc_auc,0.7079,0.6114,0.7926
le15,125,year_plus_pitch_movement,,log_loss,0.6413,0.5643,0.7297
le15,125,combined,,pairwise_accuracy,0.5680,0.4840,0.6440
le15,125,combined,,roc_auc,0.6002,0.4948,0.6933
le15,125,combined,,log_loss,0.7785,0.6661,0.9340
le15,125,year_plus_combined,,pairwise_accuracy,0.6520,0.5680,0.7320
le15,125,year_plus_combined,,roc_auc,0.6918,0.5920,0.7792
le15,125,year_plus_combined,,log_loss,0.8456,0.6146,1.1849
le15,125,compact,,pairwise_accuracy,0.5640,0.4960,0.6280
le15,125,compact,,roc_auc,0.6009,0.5009,0.6908
le15,125,compact,,log_loss,0.7123,0.6474,0.8005
le15,125,year_plus_compact,,pairwise_accuracy,0.6440,0.5600,0.7240
le15,125,year_plus_compact,,roc_auc,0.7070,0.6111,0.7929
le15,125,year_plus_compact,,log_loss,0.6429,0.5729,0.7308
le15,125,pitch_movement,year_only,d_pairwise_accuracy,-0.1040,-0.2200,0.0080
le15,125,pitch_movement,year_only,d_roc_auc,-0.0941,-0.2378,0.0416
le15,125,pitch_movement,year_only,d_log_loss,0.0372,-0.0145,0.0974
le15,125,year_plus_pitch_movement,year_only,d_pairwise_accuracy,-0.0040,-0.0560,0.0440
le15,125,year_plus_pitch_movement,year_only,d_roc_auc,0.0091,-0.0716,0.0793
le15,125,year_plus_pitch_movement,year_only,d_log_loss,-0.0039,-0.0682,0.0741
le15,125,combined,year_only,d_pairwise_accuracy,-0.0880,-0.2001,0.0240
le15,125,combined,year_only,d_roc_auc,-0.0986,-0.2459,0.0344
le15,125,combined,year_only,d_log_loss,0.1333,0.0142,0.2920
le15,125,year_plus_combined,year_only,d_pairwise_accuracy,-0.0040,-0.0640,0.0560
le15,125,year_plus_combined,year_only,d_roc_auc,-0.0069,-0.1015,0.0727
le15,125,year_plus_combined,year_only,d_log_loss,0.2004,-0.0259,0.5350
le15,125,compact,year_only,d_pairwise_accuracy,-0.0920,-0.2040,0.0080
le15,125,compact,year_only,d_roc_auc,-0.0979,-0.2404,0.0325
