record_type,window,n_families,model,reference_or_term,metric,estimate,ci95_lo,ci95_hi,direction,sign_stability,selection_frequency,chosen_C,chosen_l1_ratio
performance,le15,125,year_only,,pairwise_accuracy,0.6560,0.5760,0.7361,,,,,
performance,le15,125,year_only,,roc_auc,0.6988,0.6090,0.7878,,,,,
performance,le15,125,year_only,,log_loss,0.6452,0.6179,0.6717,,,,,
performance,le15,125,minimal_pitch_core,,pairwise_accuracy,0.5640,0.5040,0.6240,,,,,
performance,le15,125,minimal_pitch_core,,roc_auc,0.6159,0.5244,0.7046,,,,,
performance,le15,125,minimal_pitch_core,,log_loss,0.6827,0.6368,0.7451,,,,,
performance,le15,125,year_plus_minimal_pitch_core,,pairwise_accuracy,0.6600,0.5800,0.7361,,,,,
performance,le15,125,year_plus_minimal_pitch_core,,roc_auc,0.7586,0.6709,0.8381,,,,,
performance,le15,125,year_plus_minimal_pitch_core,,log_loss,0.5910,0.5347,0.6515,,,,,
performance,le15,125,extended_pitch_core,,pairwise_accuracy,0.5640,0.5039,0.6280,,,,,
performance,le15,125,extended_pitch_core,,roc_auc,0.6128,0.5202,0.7045,,,,,
performance,le15,125,extended_pitch_core,,log_loss,0.6852,0.6334,0.7522,,,,,
performance,le15,125,year_plus_extended_pitch_core,,pairwise_accuracy,0.6600,0.5760,0.7400,,,,,
performance,le15,125,year_plus_extended_pitch_core,,roc_auc,0.7159,0.6212,0.7994,,,,,
performance,le15,125,year_plus_extended_pitch_core,,log_loss,0.6386,0.5613,0.7296,,,,,
performance,le15,125,continuity_augmented,,pairwise_accuracy,0.5640,0.4960,0.6280,,,,,
performance,le15,125,continuity_augmented,,roc_auc,0.6009,0.5009,0.6908,,,,,
performance,le15,125,continuity_augmented,,log_loss,0.7123,0.6474,0.8005,,,,,
performance,le15,125,year_plus_continuity_augmented,,pairwise_accuracy,0.6440,0.5600,0.7240,,,,,
performance,le15,125,year_plus_continuity_augmented,,roc_auc,0.7070,0.6111,0.7929,,,,,
performance,le15,125,year_plus_continuity_augmented,,log_loss,0.6429,0.5729,0.7308,,,,,
