scheme,collection,medium,n_melodies,mean_core,median_core,rank_core,mean_continuity,median_continuity,rank_continuity,mean_augmented,median_augmented,rank_augmented,mean_prop_repeated_pitch,mean_pitch_range,mean_prop_gap_transitions
finnish_blind,HS1,vocal,1017,-0.7921,-0.8925,8,0.6862,0.3386,1,-0.1059,-0.3717,7,0.1274,11.9685,0.0382
finnish_blind,LS1,vocal,881,0.1028,0.0765,5,0.2894,0.1689,2,0.3922,0.2718,2,0.2827,12.7174,0.0267
finnish_blind,LS2,vocal,1031,0.0207,0.0178,6,0.1938,0.2513,3,0.2144,0.1542,5,0.2868,13.1358,0.0240
finnish_blind,LS3,vocal,1421,0.0128,-0.0150,7,0.1214,-0.6340,4,0.1342,0.0741,6,0.2673,12.6488,0.0219
finnish_blind,LS4,vocal,1509,0.2603,0.2337,4,0.0647,-0.6340,5,0.3250,0.2817,3,0.2955,12.4645,0.0202
finnish_blind,RS1,vocal,940,0.8852,0.7393,2,-0.5802,-0.6340,9,0.3050,0.1414,4,0.1560,6.4128,0.0016
finnish_blind,RS2,vocal,832,1.1762,1.0389,1,-0.5298,-0.6340,7,0.6463,0.4902,1,0.2423,7.6046,0.0030
finnish_blind,Jouhikkosävelmiä,instrumental,48,0.4707,0.5043,3,-0.5997,-0.6340,10,-0.1291,0.0715,8,0.2112,9.4375,0.0010
finnish_blind,KT1,instrumental,702,-1.8706,-1.8074,10,-0.3894,-0.6340,6,-2.2600,-2.2385,10,0.1348,16.2279,0.0071
finnish_blind,Kantelesävelmiä,instrumental,232,-1.0232,-1.0070,9,-0.5787,-0.6340,8,-1.6019,-1.6138,9,0.1196,12.6336,0.0016
dutch_ref,HS1,vocal,1017,0.0643,-0.0272,8,0.7511,0.4140,1,0.8153,0.5584,7,0.1274,11.9685,0.0382
dutch_ref,LS1,vocal,881,0.9779,0.9473,5,0.3663,0.2495,2,1.3442,1.2432,2,0.2827,12.7174,0.0267
dutch_ref,LS2,vocal,1031,0.9083,0.9175,6,0.2736,0.3294,3,1.1819,1.1119,4,0.2868,13.1358,0.0240
dutch_ref,LS3,vocal,1421,0.8862,0.8596,7,0.2034,-0.5291,4,1.0896,1.0333,6,0.2673,12.6488,0.0219
dutch_ref,LS4,vocal,1509,1.1274,1.0943,4,0.1484,-0.5291,5,1.2758,1.2275,3,0.2955,12.4645,0.0202
dutch_ref,RS1,vocal,940,1.5731,1.4302,2,-0.4770,-0.5291,9,1.0961,0.9433,5,0.1560,6.4128,0.0016
dutch_ref,RS2,vocal,832,1.8979,1.7462,1,-0.4281,-0.5291,7,1.4698,1.3050,1,0.2423,7.6046,0.0030
dutch_ref,Jouhikkosävelmiä,instrumental,48,1.2485,1.2658,3,-0.4959,-0.5291,10,0.7526,0.8962,8,0.2112,9.4375,0.0010
dutch_ref,KT1,instrumental,702,-0.8859,-0.8370,10,-0.2919,-0.5291,6,-1.1778,-1.1872,10,0.1348,16.2279,0.0071
dutch_ref,Kantelesävelmiä,instrumental,232,-0.1466,-0.1330,9,-0.4755,-0.5291,8,-0.6221,-0.6414,9,0.1196,12.6336,0.0016
