sample,n_families,n_melodies,model,metric,estimate,ci95_lo_boot_families,ci95_hi_boot_families
full,433,2820,year_only,roc_auc,0.6221,0.5691,0.6736
full,433,2820,year_only,pairwise_accuracy,0.5889,,
full,433,2820,continuity,roc_auc,0.6199,0.5651,0.6699
full,433,2820,continuity,pairwise_accuracy,0.5982,,
full,433,2820,pitch_movement,roc_auc,0.7164,0.6673,0.762
full,433,2820,pitch_movement,pairwise_accuracy,0.6594,,
full,433,2820,combined,roc_auc,0.7239,0.6753,0.7749
full,433,2820,combined,pairwise_accuracy,0.6582,,
full,433,2820,year_plus_combined,roc_auc,0.7392,0.6928,0.7855
full,433,2820,year_plus_combined,pairwise_accuracy,0.709,,
notated,424,2342,year_only,roc_auc,0.5916,0.5379,0.6467
notated,424,2342,year_only,pairwise_accuracy,0.5731,,
notated,424,2342,continuity,roc_auc,0.6421,0.5911,0.6919
notated,424,2342,continuity,pairwise_accuracy,0.6061,,
notated,424,2342,pitch_movement,roc_auc,0.6716,0.6222,0.7229
notated,424,2342,pitch_movement,pairwise_accuracy,0.6215,,
notated,424,2342,combined,roc_auc,0.7087,0.6609,0.7573
notated,424,2342,combined,pairwise_accuracy,0.6733,,
notated,424,2342,year_plus_combined,roc_auc,0.7212,0.6723,0.7674
notated,424,2342,year_plus_combined,pairwise_accuracy,0.691,,
strict,358,1757,year_only,roc_auc,0.4577,0.4062,0.509
strict,358,1757,year_only,pairwise_accuracy,0.4721,,
strict,358,1757,continuity,roc_auc,0.6477,0.5892,0.7045
strict,358,1757,continuity,pairwise_accuracy,0.5936,,
strict,358,1757,pitch_movement,roc_auc,0.7095,0.655,0.7603
strict,358,1757,pitch_movement,pairwise_accuracy,0.6634,,
strict,358,1757,combined,roc_auc,0.7487,0.6938,0.7973
strict,358,1757,combined,pairwise_accuracy,0.6983,,
strict,358,1757,year_plus_combined,roc_auc,0.7446,0.6961,0.794
strict,358,1757,year_plus_combined,pairwise_accuracy,0.7151,,
